length max_speed avg_speed base_temp measured_temp genotype
212.62599999999998 12.342 16.802 RT RT W-
132.395 122.606 16.549500000000002 RT RT W-
5.848 5.284 1.3145 RT RT W-
368.737 26.177 21.51 RT RT W-
199.138 18.999 11.616 RT RT W-
3.129 3.204 0.937 RT RT W-
122.213 17.742 7.129 RT RT W-
314.818 28.247 18.364 RT RT W-
3.095 1.592 0.867 RT RT W-
118.26 24.787 13.163333333333334 RT RT W-
53.675000000000004 13.392 3.7623333333333333 RT RT W-
4.087 2.298 0.987 RT RT W-
114.17500000000001 31.799 14.05 RT RT W-
49.856 15.041 4.64825 RT RT W-
108.29 15.155 10.244 RT RT W-
150.28900000000002 16.209 8.5145 RT 29 W-
241.427 22.283 14.083 RT 29 W-
161.328 29.202 6.677499999999999 RT 29 W-
284.351 36.23 19.691 RT 29 W-
256.50399999999996 28.729 13.28475 RT 29 W-
249.316 25.087 15.045 RT 29 W-
10.804 3.966 4.449 RT 29 W-
176.064 35.048 15.833 RT 29 W-
581.686 51.447 36.27133333333333 RT 29 W-
227.242 29.351 12.332 RT 29 W-
326.104 34.089 19.023 RT 29 W-
179.644 23.046 10.479 RT 29 W-
24.24 14.707 8.08 RT 29 W-
323.49 32.736 18.87 29 29 W-
209.05900000000003 24.933 19.488333333333333 29 29 W-
365.20400000000006 30.016 22.426000000000002 29 29 W-
519.803 43.247 30.322 29 29 W-
83.257 31.358 11.208 29 29 W-
327.455 34 19.102 29 29 W-
201.949 31.438 11.78 29 29 W-
416.034 34.093 24.269 29 29 W-
321.138 31.033 18.733 29 29 W-
294.708 26.898 18.3465 29 29 W-
324.469 32.358 13.3605 29 29 W-
119.25 13.682 6.956 29 29 W-
351.069 37.426 20.479 29 29 W-
286.972 25.779 16.74 29 29 W-
215.49 31.826 12.57 29 29 W-
161.325 23.106 13.183499999999999 29 29 W-
193.421 24.146 11.283 29 29 W-
367.986 27.254 19.8545 29 RT W-
180.589 15.638 12.273 29 RT W-
243.015 22.371 16.516 29 RT W-
234.352 28.428 21.740000000000002 29 RT W-
361.877 31.38 21.109 29 RT W-
187.23 70.105 20.333 29 RT W-
354.533 33.225 24.516 29 RT W-
309.277 27.251 18.663 29 RT W-
364.1859999999999 52.313 23.6178 29 RT W-
246.117 22.752 14.852 29 RT W-
123.492 42.48 9.466 29 RT W-
367.76 29.222 21.476 29 RT W-
432.33 34.304 25.219 29 RT W-
85.243 10.956 4.973 29 RT W-
306.56100000000004 26.131 13.651 29 RT W-
138.828 14.787 8.098 29 RT W-
218.091 24.097 13.211500000000001 29 RT W-
487.278 32.822 27.059666666666665 29 RT W-
213.81799999999998 362.124 20.823999999999998 RT RT PGRP-LE
87.056 19.522 4.955 RT RT PGRP-LE
134.887 19.197 10.1485 RT RT PGRP-LE
149.598 14.454 8.727 RT RT PGRP-LE
172.869 25.158 12.968 RT RT PGRP-LE
324.351 24.657 18.92 RT RT PGRP-LE
355.03499999999997 26.993 22.079 RT RT PGRP-LE
45.931 8.276 6.562 RT RT PGRP-LE
157.554 18.677 11.859 RT RT PGRP-LE
208.591 54.773 12.168 RT RT PGRP-LE
158.829 22.352 16.845 RT RT PGRP-LE
226.68099999999998 22.544 13.423333333333334 RT RT PGRP-LE
157.834 21.318 9.207 RT RT PGRP-LE
245.864 27.713 11.780000000000001 RT RT PGRP-LE
166.014 20.221 8.2795 RT RT PGRP-LE
13.797 0 0.805 RT RT PGRP-LE
138.236 0 8.064 RT RT PGRP-LE
286.437 64.714 18.386499999999998 RT 29 PGRP-LE
1.396 1.005 0.814 RT 29 PGRP-LE
116.822 63.238 10.588000000000001 RT 29 PGRP-LE
175.517 24.031 10.996 RT 29 PGRP-LE
4.256 4.963 1.103 RT 29 PGRP-LE
252.846 67.631 12.381666666666666 RT 29 PGRP-LE
117.403 15.53 6.849 RT 29 PGRP-LE
248.55400000000003 27.207 14.697333333333333 RT 29 PGRP-LE
40.084 1.722 3.5405 RT 29 PGRP-LE
183.792 15.702 10.721 RT 29 PGRP-LE
280.192 33.515 18.161 RT 29 PGRP-LE
166.357 19.013 10.215 RT 29 PGRP-LE
19.038 3.922 1.4425999999999999 RT 29 PGRP-LE
8.684 1.952 0.64 RT 29 PGRP-LE
270.899 66.792 19.967333333333332 RT 29 PGRP-LE
174.25900000000001 8.1 6.6785 29 29 PGRP-LE
4.731 0 0.649 29 29 PGRP-LE
24.044 0 1.403 29 29 PGRP-LE
288.944 23.612 16.855 29 29 PGRP-LE
100.903 12.864 5.886 29 29 PGRP-LE
242.914 0 14.17 29 29 PGRP-LE
324.02 11.957 18.901 29 29 PGRP-LE
81.856 40.914 4.775 29 29 PGRP-LE
43.075 0 2.513 29 29 PGRP-LE
29.333 2.1 1.711 29 29 PGRP-LE
8.82 4.848 1.4215 29 29 PGRP-LE
147.804 0 8.622 29 29 PGRP-LE
40.179 8.905 3.516 29 29 PGRP-LE
17.426000000000002 6.792 1.672 29 29 PGRP-LE
172.077 95.373 10.15625 29 RT PGRP-LE
157.369 24.304 13.131499999999999 29 RT PGRP-LE
143.75 255.687 17.301000000000002 29 RT PGRP-LE
123.414 15.285 7.199 29 RT PGRP-LE
170.193 62.925 7.2059999999999995 29 RT PGRP-LE
83.177 34.299 7.0625 29 RT PGRP-LE
166.02 17.007 9.685 29 RT PGRP-LE
86.768 23.675 5.8005 29 RT PGRP-LE
178.094 127.351 25.176333333333332 29 RT PGRP-LE
86.166 18.566 8.653 29 RT PGRP-LE
197.46300000000002 22.383 12.153333333333332 29 RT PGRP-LE
70.945 42.128 11.374333333333333 29 RT PGRP-LE
12.886 4.727 0.752 29 RT PGRP-LE
227.29 21.995 13.259 29 RT PGRP-LE
115.924 19.521 14.075 29 RT PGRP-LE
